Date,Value
189501,34.2
189601,34.7
189701,35.5
189801,39.6
189901,36.4
190001,37.4
190101,37
190201,35
190301,35.5
190401,29.8
190501,33.7
190601,42.3
190701,40.5
190801,38.3
190901,39.6
191001,36.1
191101,40.7
191201,29.3
191301,46.9
191401,36.9
191501,38.9
191601,42.3
191701,38.4
191801,26.5
191901,40.6
192001,29.7
192101,39.7
192201,33.4
192301,35.2
192401,39.4
192501,33.8
192601,37.2
192701,36.8
192801,40
192901,37.8
193001,38.5
193101,38.2
193201,47.6
193301,45.6
193401,39.8
193501,35
193601,34.3
193701,45.7
193801,37.3
193901,36.8
194001,30
194101,34.5
194201,36.5
194301,36.1
194401,39
194501,31.5
194601,40.2
194701,43
194801,30.1
194901,43.5
195001,47.6
195101,42.5
195201,42.4
195301,42.4
195401,37
195501,35.6
195601,36.2
195701,33.8
195801,36.4
195901,37.1
196001,37.8
196101,31.9
196201,38
196301,34.6
196401,40.2
196501,34
196601,37.1
196701,41.6
196801,31.7
196901,35.7
197001,29.9
197101,31.5
197201,40.5
197301,40.6
197401,39.7
197501,41.7
197601,32.6
197701,26.1
197801,32.3
197901,38.6
198001,38
198101,30.6
198201,30.9
198301,38
198401,33.5
198501,33
198601,39.3
198701,35.9
198801,34.2
198901,42.4
199001,46
199101,39.6
199201,40.9
199301,41
199401,31.6
199501,42.6
199601,37
199701,39.2
199801,45.8
199901,40.8
200001,37.8
200101,38.8
200201,45.4
200301,32.9
200401,31
200501,37.4
200601,47.6
200701,43.6
200801,42.4
200901,33.4
201001,38.1
201101,34.8
201201,44.2
201301,40.8
201401,35.5
201501,36.1
201601,40.8
201701,42.8
201801,38.7
